,Title,Code,Date,Price per m² (triệu/m²),Total Price (tỷ),Area (m²),Bedroom Number,Bathroom Number,Legal Status,Furniture,District
107,Bán nhanh trong tháng căn hộ 3PN Báo Nhân Dân nhà đẹp nội thất - chào thật không chào ảo,41911784.0,2025-07-01 00:00:00,53.26,4.9,92.0,3.0,2.0,NAN,NAN,Nam Từ Liêm
108,"Bán lô góc Bằng Lăng 12 - 01, khu vip 648m2, đất vuông, hoàn thiện 186tỷ, sông đẹp nhất Vinhomes",38589083.0,2025-05-01 00:00:00,287.04,186.0,648.0,6.0,6.0,NAN,NAN,Long Biên
109,Chính chủ cần bán gấp căn căn 4 PN 132m2 tại N01T1 NGĐ giá rẻ 0924 691 ***,32191300.0,2025-12-01 00:00:00,82.0,10.82,132.0,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc Từ Liêm
110,"Chính chủ bán căn góc đẹp A1, A4, B1, B4 diện tích 85/96m2, Anland Premium. LH 0984 797 ***",41335371.0,2025-10-01 00:00:00,0.0,0.0,85.0,3.0,2.0,Sổ đỏ/ Sổ hồng,"Điều hoà, nóng lạnh, tủ bếp, ti vi, tủ lạnh, máy giặt, thiết bị chiếu sáng hàng nhập khẩu...",Hà Đông
111,BÁN NHÀ - AN DƯƠNG - TÂY HỒ - NGÕ THÔNG - Ô TÔ 4 CHỖ ĐỖ CỬA - 20M RA Ô TÔ TRÁNH,42031714.0,2025-12-01 00:00:00,169.81,9.0,53.0,4.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,Tây Hồ
112,"Đất vuông đẹp, đường thông ô tô đỗ cửa. Thôn Đoài, xã Việt Hùng, huyện Đông Anh",42017881.0,2025-09-01 00:00:00,68.0,3.4,50.0,0.0,0.0,Sổ đỏ/ Sổ hồng,NAN,Đông Anh
113,"Bán gấp - nhà tập thể tầng 3 - 60m2 Thổ Quan, Đống Đa",42018163.0,2025-10-01 00:00:00,0.0,0.0,60.0,3.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Đống Đa
114,"Căn duplex hướng Đông Nam view bể bơi, khu thấp tầng còn lại chiết khấu 12%, ký mới trực tiếp CĐT",42022980.0,2025-10-01 00:00:00,0.0,8.26,130.2,3.0,3.0,Sổ đỏ/ Sổ hồng,Không nội thất,Gia Lâm
116,NHÀ KIM GIANG SẠCH SẼ CHỈ VIỆC SÁCH QUẦN ÁO VÀO Ở,42029695.0,2025-11-01 00:00:00,265.62,8.5,32.0,5.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Thanh Xuân
117,"Độc quyền, chỉ 47tr/m2 sở hữu ngay căn hộ 4PN đẹp không tì vết tại 1 dự án trung tâm thành phố",40579478.0,2025-12-01 00:00:00,48.44,6.2,128.0,4.0,3.0,NAN,NAN,Hai Bà Trưng
118,Bán gấp chung cư 3 phòng ngủ tòa C14 Tố Hữu - Full nội thất đẹp - Sổ đỏ lâu dài - Giá 5 tỷ 6,40799764.0,2025-04-01 00:00:00,53.33,5.6,105.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ nhà full nội thất.,Nam Từ Liêm
119,"Bán nhà riêng phố Cầu Giấy- DÂN XÂY - GẦN PHỐ - Ở NGAY-32/35m2 - 5T, MT 3.8M 7.5 tỷ",42028907.0,2025-11-01 00:00:00,234.38,7.5,32.0,0.0,0.0,NAN,NAN,Cầu Giấy
120,"Căn 2 ngủ rẻ nhất, đẹp nhất, chủ nhà thiện chí nhất thời điểm hiện tại. 76m2, tầng trung. Full đồ",38497654.0,2025-11-01 00:00:00,57.42,4.36,76.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Full.,Thanh Trì
